ShotSN,MoldClampedTime,MoldReleasedTime,MOID,ProdID,Sensor2_MaxPressure,Sensor2_SumStage1Pressure,Sensor2_MaxPressureTime,Sensor2_AvgStage1PressureSlope,Sensor2_AvgStage2PressureSlope,Sensor2_MoldReleasePressure,Sensor3_MaxPressure,Sensor3_SumStage1Pressure,Sensor3_MaxPressureTime,Sensor3_AvgStage1PressureSlope,Sensor3_AvgStage2PressureSlope,Sensor3_MoldReleasePressure,Sensor4_MaxPressure,Sensor4_SumStage1Pressure,Sensor4_MaxPressureTime,Sensor4_AvgStage1PressureSlope,Sensor4_AvgStage2PressureSlope,Sensor4_MoldReleasePressure,Sensor5_StartTemperature,Sensor5_MaxTemperature,Sensor5_AvgStage2TemperatureSlope,Sensor5_MoldReleaseTemperature,Sensor1_Stage1StartTime,Sensor1_Stage1EndTime,Sensor1_Stage1Period,Sensor1_AvgStage1PressureSlope,Sensor1_SumStage1Pressure,Sensor1_Stage1EndPressure,Sensor1_Stage2StartTime,Sensor1_Stage2EndTime,Sensor1_Stage2Period,Sensor1_AvgStage2PressureSlope,Sensor1_SumStage2Pressure,Sensor1_Stage3StartTime,Sensor1_Stage3EndTime,Sensor1_Stage3Period,Sensor1_MaxStage3Pressure,Sensor1_MaxStage3PressureTime,Sensor1_SumStage3Pressure,Sensor1_CycleTime,Sensor1_SumPressure,Soft_MoldClampedCycleTime,Soft_MoldBasedCycleTime,Soft_MoldShotInterval,Soft_MoldCompleteCycleTime,Soft_DiffMaxPressure,Soft_DiffIncreasePressureTime,Soft_DiffMoldReleasePressure,OPCUA_CycleTime,OPCUA_MoldClampingTime,OPCUA_MoldReleasingTime,OPCUA_InjectionTime,OPCUA_VPChangeOverDelayTime,OPCUA_HoldingTime,OPCUA_PlastificationTime,OPCUA_VPChangeOverPosition,OPCUA_CusionVolume,OPCUA_EndHoldingPosition,OPCUA_EndPlastificationPosition,OPCUA_Nozzle1Temperature,OPCUA_Nozzle2Temperature,OPCUA_Nozzle3Temperature,OPCUA_Nozzle4Temperature,OPCUA_Nozzle5Temperature,OPCUA_IMMOilTemperature,OPCUA_FallMaterialTemperature,OPCUA_MaxInjectionPressure,OPCUA_VPChangeOverPressure,OPCUA_SumInjectionPressure,OPCUA_SumHoldingPressure,OPCUA_MaxCavityNearGatePressure,OPCUA_MaxCavityFarGatePressure,OPCUA_SumCavityPressure,OPCUA_SumMoldClampingForce,OPCUA_MaxMoldClampingForce,OPCUA_MaxBackPressure,OPCUA_DelayPlastificationTime,OPCUA_InMoldCoolingTemperature,OPCUA_OutMoldCoolingTemperature,OPCUA_MoldCoolingVolume,OPCUA_MoldReleasingPosition2,OPCUA_MoldReleasingPosition3,OPCUA_MoldReleasingPosition4,OPCUA_MoldReleasingPosition5,OPCUA_ScrewSuckBackPosition,OPCUA_ScrewRPM,OPCUA_PartWeight,OPCUA_GateClosingTime,OPCUA_MeltTemperature,OPCUA_MoldTemperature,StartShotSN,EndShotSN,GroupSN,Type
4379,58:27.8,00:52.8,t11,#2-4英吋OY,1.03,14.157195,40.840827,0.02522,-0.010301,0,1.08,5.705134,30.745137,0.034477,-0.009538,0.03,1.12,8.58422,34.599093,0.032371,-0.010542,0,0.32,2.03,-0.010755,0.69,5.531061,14.715787,9.184726,0.111054,125.73,1.55,14.715787,64.538274,49.822487,-0.024086,1273.54,64.487503,64.944258,0.456755,0.91,64.487503,2.08,140.835545,1763.39,140.904682,149.887465,17.723265,167.61073,-0.05,10.09569,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4379,4379,4379,0
4380,01:15.3,03:40.3,t11,#2-4英吋OY,1.05,6.547872,32.209731,0.032599,-0.009485,0.02,1.17,12.403114,37.18254,0.031467,-0.011194,0.01,1.1,8.525406,34.543804,0.031844,-0.010164,0.02,0.26,2.02,-0.011564,0.58,5.681518,14.81363,9.132112,0.111694,126.33,1.55,14.81363,64.675095,49.861465,-0.028479,1277.85,66.094334,66.195689,0.101355,0.23,66.144989,0.66,140.804842,1768.7,140.871915,149.956705,17.608582,167.565287,-0.12,-4.972809,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380,4380,4380,0
4381,04:03.0,06:28.0,t11,#2-4英吋OY,1.02,13.174685,40.641834,0.025098,-0.010185,0,1.08,11.104984,37.089899,0.028849,-0.010318,0.01,1.15,9.048279,33.84385,0.03398,-0.010192,0.06,0.34,2.02,-0.010602,0.7,5.530875,14.715568,9.184693,0.111054,125.41,1.55,14.715568,64.633489,49.917921,-0.029248,1280.25,66.003557,66.105066,0.101509,0.21,66.054319,0.59,140.790578,1768.38,140.86055,149.915642,17.810546,167.726188,-0.06,3.551935,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4381,4381,4381,0
4382,06:50.5,09:15.5,t11,#2-4英吋OY,1.05,9.908769,36.265251,0.028954,-0.010037,0,1.32,19.565833,37.48313,0.035216,-0.011122,0.17,1.07,11.311617,38.04137,0.027076,-0.010404,0,0.47,2.01,-0.010196,0.74,4.819054,14.805792,9.986738,0.104138,134.7,1.56,14.805792,64.668413,49.862621,-0.026272,1280.31,64.617714,65.124561,0.506847,0.92,64.617714,1.72,140.88189,1769.51,140.94866,149.867372,17.5949,167.462272,-0.27,-1.217879,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4382,4382,4382,0
4383,09:38.4,12:03.4,t11,#2-4英吋OY,1.03,8.443546,34.787381,0.029609,-0.00971,0,1.04,10.232166,37.831827,0.021411,-0.010094,0,1.11,7.721635,33.823404,0.032818,-0.010369,0,0.63,2.01,-0.010434,0.71,4.818596,14.801108,9.982512,0.10318,134.71,1.55,14.801108,64.620281,49.819173,-0.027901,1286.79,66.09179,66.193253,0.101463,0.23,66.142493,0.65,140.867868,1777.08,140.93853,149.974576,17.903433,167.878009,-0.01,-3.044446,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4383,4383,4383,0
4384,12:26.0,14:51.0,t11,#2-4英吋OY,1,7.57286,33.976062,0.029433,-0.009355,0,1.18,13.139985,37.522037,0.031448,-0.011417,0,1.11,8.918005,34.786561,0.031909,-0.010369,0.01,0.56,2.02,-0.011642,0.57,4.815548,14.806045,9.990497,0.104099,136.03,1.56,14.806045,64.63597,49.829925,-0.026289,1281.71,64.585208,64.889707,0.304499,0.92,64.585208,1.7,140.873773,1773.41,140.93799,149.89766,17.743031,167.640691,-0.18,-3.545975,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4384,4384,4384,0
4385,15:13.6,17:38.6,t11,#2-4英吋OY,1.08,8.007473,34.132752,0.031641,-0.010118,0,1.09,11.566163,37.481674,0.02748,-0.010349,0.02,1.17,10.494659,34.082016,0.034329,-0.010207,0.08,0.04,2.01,-0.014372,0.22,4.96817,14.803712,9.835542,0.105739,132.56,1.56,14.803712,64.669589,49.865877,-0.023463,1282.56,64.618829,65.227807,0.608978,0.93,64.618829,2,140.870762,1772.5,140.945845,149.843584,17.758551,167.602135,-0.01,-3.348922,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4385,4385,4385,0
4386,18:01.4,20:26.4,t11,#2-4英吋OY,1.02,14.558264,41.203141,0.024513,-0.010243,0,1.24,16.075117,37.143676,0.03123,-0.01071,0.13,1.12,9.125143,35.164417,0.031851,-0.010604,0,0.55,2.02,-0.010598,0.7,5.429578,14.816656,9.387078,0.109725,128.83,1.55,14.816656,64.637006,49.82035,-0.028703,1280.3,66.10829,66.159039,0.050749,0.22,66.159039,0.41,140.786045,1771.83,140.849745,150.003832,17.772359,167.776191,-0.22,4.059465,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4386,4386,4386,0
4387,20:49.1,23:14.2,t11,#2-4英吋OY,1.22,12.746131,33.640642,0.036266,-0.010444,0.1,1.09,11.154255,37.345043,0.025706,-0.010335,0.02,1.11,7.539931,33.488398,0.033146,-0.010336,0,0.65,2.02,-0.010679,0.69,4.921507,14.814178,9.892671,0.105128,133.55,1.56,14.814178,64.631701,49.817523,-0.024891,1278.2,64.580958,65.189851,0.608893,0.91,64.580958,2.18,140.876366,1768.41,140.951601,149.926808,17.870926,167.797734,0.13,-3.704401,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4387,4387,4387,0
4388,23:36.8,26:01.8,t11,#2-4英吋OY,1.06,18.677437,45.493344,0.021542,-0.010901,0.02,1.1,11.143736,37.125786,0.029629,-0.0106,0,1.13,12.677878,37.937475,0.029786,-0.010975,0,0.63,2.02,-0.010597,0.7,4.969946,14.808783,9.838837,0.105704,133.12,1.56,14.808783,64.660577,49.851794,-0.027481,1266.05,66.080098,66.181503,0.101405,0.21,66.130798,0.59,140.896903,1755.77,140.964713,149.924585,17.675688,167.600273,-0.04,8.367558,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4388,4388,4388,0
4389,26:24.6,28:49.6,t11,#2-4英吋OY,1.07,14.232853,40.226146,0.0266,-0.010637,0,1.1,10.732242,36.4721,0.029886,-0.010446,0.01,1.02,13.611456,39.668188,0.025461,-0.009689,0.04,0.09,2.01,-0.011724,0.55,5.273737,14.813672,9.539935,0.107967,130.01,1.55,14.813672,64.66583,49.852158,-0.029086,1262.59,66.136095,66.186802,0.050707,0.23,66.186802,0.43,140.818111,1752.6,140.885521,149.852019,17.920379,167.772398,-0.03,3.754046,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4389,4389,4389,0
4390,29:12.2,31:37.2,t11,#2-4英吋OY,1.02,13.263109,40.488511,0.024452,-0.010166,0,1.14,11.560538,36.378268,0.031063,-0.010436,0.05,1.16,9.821078,34.196477,0.033922,-0.010222,0.07,0.59,2.01,-0.010679,0.68,5.679124,14.812678,9.133554,0.111676,126.22,1.55,14.812678,64.636109,49.823431,-0.0283,1271.9,66.107481,66.208953,0.101472,0.22,66.158206,0.63,140.824868,1763.24,140.890221,149.944526,17.703896,167.648422,-0.12,4.110243,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4390,4390,4390,0
4391,32:00.0,34:25.0,t11,#2-4英吋OY,1.06,7.416047,33.178461,0.031949,-0.009843,0,1.09,10.0153,35.918692,0.02979,-0.01029,0.01,1.08,11.173374,37.948946,0.026351,-0.010493,0,0.54,2.01,-0.010439,0.71,4.717625,14.816053,10.098428,0.102986,135.84,1.56,14.816053,64.625876,49.809823,-0.025296,1275.1,64.575114,65.133289,0.558175,0.91,64.575114,2.09,140.870351,1766.66,140.938769,149.924982,17.890995,167.815977,-0.03,-2.740231,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4391,4391,4391,0
4392,34:47.8,37:12.8,t11,#2-4英吋OY,1.02,12.055157,39.329566,0.025172,-0.010043,0,1.11,7.233249,31.875572,0.034823,-0.009632,0.06,1.18,13.88713,37.350378,0.031593,-0.011396,0,0.65,2.01,-0.010921,0.65,5.420031,14.790292,9.370261,0.108855,129.98,1.55,14.790292,64.649663,49.859371,-0.026274,1273.43,64.598902,65.106355,0.507453,0.9,64.598902,1.88,140.892054,1765.59,140.964435,149.897004,17.851758,167.748762,-0.09,7.453994,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4392,4392,4392,0
4393,37:35.5,40:00.5,t11,#2-4英吋OY,1.07,13.249164,38.808978,0.027571,-0.010295,0.02,1.19,13.109177,36.728478,0.032128,-0.011146,0.03,1.05,10.016571,37.185124,0.026624,-0.010134,0,0.56,2.02,-0.010605,0.7,5.277975,14.71059,9.432615,0.108135,129.83,1.55,14.71059,64.629067,49.918477,-0.027445,1273.77,66.100777,66.151531,0.050754,0.22,66.151531,0.4,140.800916,1763.52,140.866477,149.934539,17.772026,167.706565,-0.12,2.0805,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4393,4393,4393,0
4394,40:23.1,42:48.2,t11,#2-4英吋OY,1.06,19.065832,44.949231,0.023582,-0.01105,0,1.02,14.56974,41.905933,0.022431,-0.010306,0,1.12,11.189629,36.780654,0.030451,-0.010759,0,0.1,2.01,-0.010919,0.65,4.814438,14.706923,9.892485,0.104119,135.4,1.56,14.706923,64.629292,49.922369,-0.028644,1277.64,66.100957,66.151696,0.050739,0.22,66.151696,0.41,140.880597,1768.65,140.953974,149.922851,17.759909,167.68276,0.04,3.043298,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4394,4394,4394,0
4395,43:10.8,45:35.9,t11,#2-4英吋OY,1.01,6.673082,32.998387,0.030305,-0.009365,0,1.17,10.847725,35.738204,0.032738,-0.010846,0.03,1.09,11.018528,37.158329,0.029334,-0.010513,0,0.62,2.01,-0.010202,0.74,5.521119,14.739682,9.218563,0.111731,128.03,1.56,14.739682,64.676895,49.937213,-0.028436,1275.46,66.096027,66.197389,0.101362,0.22,66.146705,0.62,140.84151,1765.58,140.911755,149.950471,17.718186,167.668657,-0.16,-2.739817,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4395,4395,4395,0
4396,45:58.5,48:23.5,t11,#2-4英吋OY,1.04,10.667534,37.63536,0.027634,-0.010081,0,1.09,8.859226,35.200197,0.02983,-0.010227,0.01,1.11,8.136276,33.728803,0.03291,-0.010273,0.01,0.02,2,-0.011323,0.59,4.614467,14.704102,10.089635,0.103076,135.87,1.56,14.704102,64.663196,49.959094,-0.029024,1285.44,66.082466,66.18386,0.101394,0.23,66.133175,0.65,140.803429,1775.42,140.868371,149.967575,17.705241,167.672816,-0.05,2.435163,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4396,4396,4396,0
4397,48:46.1,51:11.2,t11,#2-4英吋OY,1.02,21.117012,48.089694,0.021211,-0.01099,0,1.19,11.074643,34.811595,0.034184,-0.011217,0,1.1,9.955971,36.027666,0.030532,-0.010489,0,0.16,2.01,-0.010359,0.72,4.71241,14.795524,10.083114,0.102151,135.86,1.55,14.795524,64.671523,49.875999,-0.027468,1283.43,66.09249,66.193987,0.101497,0.22,66.14323,0.63,140.897155,1775.34,140.965654,149.518924,18.124379,167.643303,-0.17,13.278099,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4397,4397,4397,0
4398,51:33.8,53:58.9,t11,#2-4英吋OY,1.15,12.259383,36.066091,0.031886,-0.01059,0.04,1.07,8.851019,35.660138,0.028043,-0.010169,0,1.12,8.54527,33.731989,0.033203,-0.010173,0.03,0.37,2.01,-0.010437,0.71,5.072826,14.805727,9.732901,0.105827,133.47,1.56,14.805727,64.63491,49.829183,-0.024684,1283.66,64.58416,65.142413,0.558253,0.93,64.58416,2.14,140.882632,1775.6,140.952963,149.905944,17.800107,167.706051,0.08,0.405953,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4398,4398,4398,0
4399,54:21.6,56:46.6,t11,#2-4英吋OY,1.01,21.682397,49.792109,0.019883,-0.011098,0,1.13,9.173817,34.678536,0.032297,-0.010554,0.01,1.11,7.599947,33.359167,0.033275,-0.010332,0,0.34,2.02,-0.011162,0.63,4.660041,14.742144,10.082103,0.103153,136.84,1.56,14.742144,64.659072,49.916928,-0.029249,1277.26,65.978399,66.079843,0.101444,0.21,66.029143,0.59,140.795574,1766.68,140.863883,149.877313,17.817697,167.69501,-0.12,15.113573,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4399,4399,4399,0
4400,57:09.2,59:34.2,t11,#2-4英吋OY,1.1,11.293441,36.968047,0.029756,-0.010491,0.01,1.11,9.266177,35.242787,0.031212,-0.010509,0,1.1,6.665199,31.43707,0.034991,-0.009503,0.06,0.19,2.01,-0.010441,0.71,5.166629,14.793072,9.626443,0.106997,130.89,1.55,14.793072,64.692681,49.899609,-0.028858,1265.71,66.111596,66.212976,0.10138,0.23,66.162284,0.65,140.871163,1757.1,140.939686,149.898153,17.772084,167.670237,-0.01,1.72526,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,4400,4400,0
4401,59:56.9,02:21.9,t11,#2-4英吋OY,1.05,8.634488,35.418302,0.029646,-0.009957,0,1.14,7.881629,33.037138,0.034507,-0.010479,0.01,1.19,10.235549,33.949167,0.035053,-0.010381,0.08,0.37,2.02,-0.010361,0.73,4.813211,14.693746,9.880535,0.104245,133.73,1.55,14.693746,64.655542,49.961796,-0.029022,1272.87,66.125226,66.226551,0.101325,0.23,66.175909,0.65,140.870692,1762.84,140.940625,149.940093,17.735837,167.67593,-0.09,2.381164,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4401,4401,4401,0
4402,02:44.6,05:09.6,t11,#2-4英吋OY,1.11,11.190076,35.895532,0.030923,-0.010294,0.03,1.1,9.065071,35.23661,0.030366,-0.010324,0.01,1.09,15.297068,40.0013,0.026249,-0.010217,0.06,0.41,2.01,-0.012135,0.5,5.676814,14.801794,9.12498,0.111781,126.56,1.55,14.801794,64.683379,49.881585,-0.028066,1277.15,66.101601,66.202934,0.101333,0.22,66.152238,0.62,140.810538,1768.14,140.87688,149.927955,17.748709,167.676664,0.01,0.658922,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4402,4402,4402,0
4403,05:32.2,07:57.2,t11,#2-4英吋OY,1.02,11.221141,38.705725,0.025836,-0.009982,0,1.11,8.290282,33.986431,0.03266,-0.010383,0,1.29,12.66662,32.565759,0.039613,-0.010339,0.17,0.02,2.02,-0.010678,0.69,4.617789,14.814959,10.19717,0.101989,137.43,1.56,14.814959,64.632714,49.817755,-0.02469,1283.24,64.581968,65.140184,0.558216,0.93,64.581968,2.16,140.891046,1773.58,140.956769,149.892826,17.72468,167.617506,-0.09,4.719294,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4403,4403,4403,0
